,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace
372,550.0,flat,79.0,True,2,2,Afueras,Ocaña,53302,good,False,1,Centro,True,desconocido
373,690.0,flat,88.0,True,2,2,Afueras,Alovera,43335,good,False,2,desconocido,True,True
374,750.0,flat,80.0,True,2,1,Madrid,Colmenarejo,30995,good,False,1,desconocido,False,True
375,700.0,flat,62.0,True,1,1,Madrid,Alcorcón,13040,good,False,2,Centro,True,desconocido
376,690.0,flat,77.0,True,2,1,Madrid,Madrid,7283,good,False,bj,Carabanchel,True,True
377,700.0,flat,50.0,True,1,1,Madrid,Madrid,7844,good,False,bj,Fuencarral,False,desconocido
378,750.0,flat,87.0,True,2,1,Madrid,Coslada,13773,good,False,5,Ciudad 70,True,desconocido
380,735.0,flat,51.0,True,1,1,Madrid,Getafe,14023,good,False,4,Buenavista,True,True
381,700.0,flat,80.0,True,3,1,Madrid,Móstoles,17777,good,False,5,Suroeste,True,desconocido
382,725.0,flat,75.0,True,3,1,Madrid,Fuenlabrada,16247,good,False,desconocido,Centro,False,desconocido
383,675.0,penthouse,80.0,True,2,1,Afueras,Guadalajara,51644,good,False,3,Casco Histórico,False,True
384,733.0,flat,68.4,True,2,1,Madrid,Alcalá de Henares,28541,good,False,2,Las Sedas - El Olivar,True,True
385,750.0,flat,36.0,True,1,1,Madrid,Madrid,4237,good,False,bj,Ciudad Lineal,True,desconocido
386,675.0,flat,69.0,True,2,1,Madrid,Madrid,5656,good,False,bj,Latina,False,desconocido
387,650.0,flat,85.0,True,2,1,Madrid,Guadarrama,43066,good,False,2,desconocido,False,desconocido
388,730.0,flat,52.0,True,1,1,Madrid,Madrid,5879,good,False,bj,Tetuán,True,desconocido
389,700.0,flat,97.0,True,1,1,Madrid,Loeches,24605,good,False,bj,desconocido,True,desconocido
390,650.0,flat,87.0,False,2,2,Afueras,Seseña,31437,good,False,3,El Quiñón,True,True
391,690.0,studio,38.0,False,0,1,Madrid,Madrid,5798,good,False,2,Tetuán,True,True
392,700.0,flat,70.0,True,2,1,Madrid,Guadarrama,43166,good,False,1,desconocido,False,desconocido
393,600.0,duplex,89.0,True,2,2,Madrid,Miraflores de la Sierra,44474,good,False,2,desconocido,False,desconocido
394,700.0,studio,25.0,False,0,1,Madrid,Madrid,691,good,False,bj,Centro,False,desconocido
395,690.0,flat,60.0,True,2,1,Madrid,Sevilla la Nueva,29005,good,False,bj,desconocido,False,desconocido
396,620.0,flat,98.0,True,2,2,Afueras,Yebes,54139,good,False,1,desconocido,True,True
397,750.0,duplex,114.0,True,3,3,Madrid,Serranillos del Valle,28099,good,False,1,desconocido,False,desconocido
399,700.0,flat,95.0,True,2,2,Afueras,Guadalajara,52456,good,False,1,Las Cañas,True,True
400,605.0,flat,87.0,True,2,2,Afueras,Yebes,54114,good,False,2,desconocido,True,True
401,645.0,flat,104.0,True,2,2,Afueras,Yebes,54019,good,False,2,desconocido,True,True
402,750.0,flat,104.0,True,2,2,Afueras,Yebes,54032,good,False,bj,desconocido,True,True
403,700.0,studio,51.0,True,0,1,Madrid,Madrid,8471,good,False,bj,Hortaleza,False,desconocido
404,670.0,flat,61.0,True,1,1,Madrid,Collado Villalba,35136,good,False,bj,Parque de la Coruña - Las Suertes,True,True
405,700.0,flat,75.0,True,2,2,Afueras,Guadalajara,53378,good,False,3,Las Lomas-Salinera-La Muñeca,True,True
406,750.0,flat,80.0,True,2,1,Madrid,Valdemoro,25085,good,False,4,Zona Estación,True,desconocido
408,740.0,studio,33.0,True,0,1,Madrid,Madrid,8322,good,False,bj,Hortaleza,True,desconocido
409,750.0,flat,110.0,True,4,2,Madrid,Colmenar Viejo,27976,good,False,1,El Mirador,False,desconocido
410,750.0,flat,62.0,True,2,1,Madrid,Madrid,5703,good,False,3,Puente de Vallecas,False,desconocido
411,750.0,studio,70.0,True,0,1,Madrid,San Sebastián de los Reyes,16273,good,False,bj,Pol. Industrial sur,True,True
412,650.0,studio,28.0,True,0,1,Madrid,Madrid,5399,good,False,bj,Ciudad Lineal,False,desconocido
413,625.0,flat,51.0,True,1,1,Madrid,Arganda,25010,good,False,2,Centro,True,True
414,700.0,flat,35.0,True,1,1,Madrid,Madrid,2266,good,False,bj,Retiro,True,desconocido
415,525.0,flat,57.0,True,1,1,Afueras,Illescas,34558,good,False,2,Parque - Ctra de Ugena,True,True
416,750.0,flat,95.0,True,2,2,Madrid,Colmenarejo,30759,good,False,1,desconocido,False,desconocido
417,600.0,flat,120.0,True,2,2,Afueras,Yebes,54075,good,False,bj,desconocido,True,True
418,725.0,flat,108.0,True,3,2,Afueras,Alovera,42596,good,False,1,desconocido,True,True
419,600.0,studio,25.0,False,0,1,Madrid,Madrid,3812,good,False,bj,Usera,False,desconocido
